element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
Na,PSL-US-v0.x,9,45,50,0.18023264346083334,0.33023264346083336,0.19,0.16,0.16,0.04,0.41,0.41,0.67,0.5,0.44,0.15,11
Na,PSL-PAW-v1-low,9,80,120,0.0,0.5,0.02,0.01,0.01,0.02,0.08,0.06,0.13,0.08,0.05,0.04,11
Na,PSL-US-v1-low,9,80,120,0.00792438176315111,0.5079243817631511,0.05,0.03,0.08,0.2,0.12,0.08,0.14,0.11,0.07,0.02,11
Na,GBRV-1.X,9,35,35,0.4645452272912267,0.5145452272912268,0.13,0.12,0.14,0.19,0.89,1.06,1.45,0.84,1.11,0.61,11
Na,DOJO-041-std,9,80,80,0.0689453870941111,0.5689453870941111,0.11,0.08,0.11,0.27,0.23,0.17,0.3,0.24,0.19,0.05,11
Na,PSL-PAW-v1-high,9,80,120,0.1811483526928811,0.6811483526928811,0.3,0.28,0.28,0.29,0.33,0.29,0.45,0.36,0.31,0.09,11
Na,PSL-US-v1-high,9,80,120,0.23881054002795332,0.7388105400279533,0.37,0.32,0.37,0.52,0.38,0.31,0.46,0.39,0.34,0.11,11
Na,SG15,9,80,80,0.2998626456516756,0.7998626456516755,0.14,0.13,0.15,0.23,0.53,0.67,1.19,0.67,0.77,0.3,11
Na,JTH-1.1-std,9,65,100,0.5631245376618234,0.9131245376618233,0.19,0.21,0.2,0.17,1.07,1.13,1.75,1.17,1.22,0.62,11
Na,SPMS,9,45,45,1.301061303310001,1.4510613033100008,1.2,1.09,1.1,1.22,1.53,1.75,2.75,1.84,1.98,0.9,11
Na,PSL-PAW-v0.x,9,,,0.0,,0.0,0.01,0.0,0.01,0.05,0.05,0.12,0.03,0.03,0.05,11
Mg,GBRV-1.X,10,35,35,0.0,0.05,0.03,0.03,0.03,0.01,0.01,0.03,0.02,0.04,0.03,0.06,12
Mg,SPMS,10,50,50,0.02525029524946111,0.2252502952494611,0.08,0.09,0.1,0.06,0.22,0.1,0.45,0.05,0.19,0.12,12
Mg,SG15,10,45,80,0.1037070614312811,0.2537070614312811,0.15,0.17,0.19,0.2,0.39,0.18,0.59,0.15,0.27,0.14,12
Mg,PSL-PAW-v1-low,10,80,80,0.0,0.5,0.04,0.02,0.03,0.03,0.01,0.02,0.02,0.04,0.02,0.06,12
Mg,PSL-US-v1-low,10,80,80,0.0,0.5,0.01,0.01,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.05,12
Mg,PSL-PAW-v1-high,10,80,100,0.002398708100218888,0.5023987081002189,0.04,0.06,0.05,0.02,0.12,0.07,0.16,0.1,0.09,0.0,12
Mg,DOJO-041-std,10,75,80,0.10814863934482,0.5581486393448201,0.19,0.2,0.2,0.17,0.33,0.2,0.36,0.26,0.23,0.08,12
Mg,PSL-US-v1-high,10,80,100,0.15060637113642222,0.6506063711364223,0.31,0.34,0.31,0.28,0.31,0.17,0.3,0.28,0.19,0.07,12
Mg,JTH-1.1-std,10,50,50,0.5065311765131921,0.7065311765131921,0.19,0.33,0.32,0.23,1.45,0.97,2.35,0.36,1.35,0.26,12
Al,PSL-PAW-v1-high,3,30,30,0.003170675743482223,0.003170675743482223,0.03,0.1,0.1,0.04,0.08,0.04,0.3,0.09,0.08,0.13,13
Al,PSL-US-v1-low,3,30,30,0.007219669892511108,0.007219669892511108,0.11,0.1,0.11,0.11,0.04,0.1,0.28,0.08,0.14,0.01,13
